Year,Brazil: GDP per capita in current prices
1987,2042.86
1988,2240.53
1989,3021.98
1990,3108.81
1991,2717.51
1992,2561.12
1993,2828.46
1994,3547.02
1995,4923.87
1996,5281.68
1997,5399.97
1998,5199.45
1999,3567.63
2000,3864.92
2001,3256.18
2002,2926.34
2003,3165.2
2004,3750.13
2005,4938.54
2006,6066.96
2007,7572.61
2008,9096.94
2009,8851.06
2010,11578.7
2011,13631.42
2012,12782.84
2013,12752.26
2014,12601.26
2015,9183
2016,9117.56
2017,10419.58
2018,9629.6
2019,9364.24
2020,7344.53
2021,8165.64
2022,9455.33
2023,10413
2024,11029.18
2025,11441.81
2026,11933.78
2027,12617.44
2028,13230.08
